id,x,y,type,neighbour,clashed,entrance
1,17.4,-15.25,1,"2,17",-1,1
2,17.4,-19.4344,1,"1,3",-1,2
3,34.1887,-23.2283,1,"2,4",-1,3
4,42.3887,-23.2283,1,"3,5",-1,4
5,48.5887,-23.2283,1,"4,6",-1,5
6,55.6387,-23.2283,1,"5,7",-1,6
7,62.9045,-23.2283,1,"6,8",-1,7
8,62.9045,-9.7816,1,"7,9",-1,8
9,55.6387,-9.7816,1,"8,10",-1,9
10,48.5887,-9.7816,1,"9,11",-1,10
11,42.3887,-9.7816,1,"10,12",-1,11
12,34.1887,-9.7816,1,"11,13",-1,12
13,28.5,-9,1,"12,14",-1,13
14,27.5,-9,1,"13,15",-1,14
15,26.5,-9,1,"14,16",-1,15
16,25.5,-9,1,"15,17",-1,16
17,24.5,-9,1,"16,1",-1,17


