id,x,y,type,neighbour,clashed,entrance
1,17.4,-14.26,1,"2,17,18,19",-1,1
2,17.4,-18.75,1,"1,3,18,19",-1,2
3,34.1887,-23.2283,1,"2,4,25",-1,3
4,42.3887,-23.2283,1,"3,5,26",-1,4
5,48.5887,-23.2283,1,"4,6,27",-1,5
6,55.6387,-23.2283,1,"5,7,28",-1,6
7,62.9045,-23.2283,1,"6,8,29",-1,7
8,62.9045,-9.7816,1,"7,9,24",-1,8
9,55.6387,-9.7816,1,"8,10,23",-1,9
10,48.5887,-9.7816,1,"9,11,22",-1,10
11,42.3887,-9.7816,1,"10,12,21",-1,11
12,34.1887,-9.7816,1,"11,13,20",-1,12
13,28.5,-9,1,"12,14,18",-1,13
14,27.5,-9,1,"13,15,18",-1,14
15,26.5,-9,1,"14,16,18",-1,15
16,25.5,-9,1,"15,17,18",-1,16
17,24.5,-9,1,"16,1,18",-1,17
18,26,-14.26,1,"1,2,19,13,14,15,16,17,20",-1,18
19,26,-18.75,1,"1,2,18,25",-1,19
20,34.1887,-14.26,1,"12,18,21,25",-1,20
21,42.3887,-14.26,1,"11,20,22,26",-1,21
22,48.5887,-14.26,1,"10,21,23,27",-1,22
23,55.6387,-14.26,1,"9,22,24,28",-1,23
24,62.9045,-14.26,1,"8,23,29",-1,24
25,34.1887,-18.75,1,"3,26,19,20",-1,25
26,42.3887,-18.75,1,"4,25,27,21",-1,26
27,48.5887,-18.75,1,"5,26,28,22",-1,27
28,55.6387,-18.75,1,"6,27,29,23",-1,28
29,62.9045,-18.75,1,"7,28,24",-1,29


